ATTRIBUTE,VALENCE
Altruistic,Positive
Appreciative,Positive
Bright,Positive
Buoyant,Positive
Candid,Positive
Capable,Positive
Charitable,Positive
Civic-minded,Positive
Collaborative,Positive
Comforting,Positive
Committed,Positive
Communicative,Positive
Compelling,Positive
Conscientious,Positive
Constructive,Positive
Cordial,Positive
Courageous,Positive
Courteous,Positive
Credible,Positive
Dazzling,Positive
Dependable,Positive
Devoted,Positive
Diplomatic,Positive
Disarming,Positive
Empowering,Positive
Encouraging,Positive
Endearing,Positive
Enterprising,Positive
Ethical,Positive
Exemplary,Positive
Exuberant,Positive
Fair-minded,Positive
Faith-filled,Positive
Fervent,Positive
Foresighted,Positive
Fortunate,Positive
Gallant,Positive
Gleeful,Positive
Graceful,Positive
Gritty,Positive
Grounded,Positive
Growth-oriented,Positive
Hardy,Positive
Helpful,Positive
Holistic,Positive
Hope-giving,Positive
Hospitable,Positive
Insight-driven,Positive
Inspirational,Positive
Inventive,Positive
Joyful,Positive
Justice-minded,Positive
Lighthearted,Positive
Methodical,Positive
Mindful,Positive
Motivated,Positive
Nurturing,Positive
Open-hearted,Positive
Organized,Positive
Passionate,Positive
Persevering,Positive
Poised,Positive
Principled,Positive
Purpose-driven,Positive
Reassuring,Positive
Rejuvenating,Positive
Seasoned,Positive
Supportive,Positive
Tenacious,Positive
Trustworthy,Positive
Virtuous,Positive
Wholehearted,Positive
Abstract,Neutral
Aesthetic,Neutral
Aloof,Neutral
Analytical,Neutral
Anonymous,Neutral
Antisocial,Neutral
Avant-garde,Neutral
Blunt,Neutral
Brisk,Neutral
Calculative,Neutral
Cerebral,Neutral
Changeable,Neutral
Clever,Neutral
Colorful,Neutral
Comfortable,Neutral
Detached,Neutral
Diffuse,Neutral
Direct,Neutral
Dispassionate,Neutral
Docile,Neutral
Dream-driven,Neutral
Eccentric,Neutral
Editorial,Neutral
Elusive,Neutral
Emotionless,Neutral
Energetic,Neutral
Entertaining,Neutral
Experimental,Neutral
Factual,Neutral
Facile,Neutral
Free-thinking,Neutral
Fresh,Neutral
Habitual,Neutral
Hard-to-read,Neutral
Hearty,Neutral
Hypothetical,Neutral
Imposing,Neutral
Informal,Neutral
Intellectual,Neutral
Introspective,Neutral
Invisible,Neutral
Laid-back,Neutral
Leisurely,Neutral
Low-key,Neutral
Measured,Neutral
Muted,Neutral
Nonchalant,Neutral
Observational,Neutral
Offbeat,Neutral
Paradoxical,Neutral
Particular,Neutral
Pensive,Neutral
Predictable,Neutral
Reserved,Neutral
Routine,Neutral
Shadowy,Neutral
Skeptical,Neutral
Stoic,Neutral
Textbook,Neutral
Theoretical,Neutral
Thorough,Neutral
